swab_id,bd_load
RKS33071,0
RKS33072,340070.88
RKS33073,466.44
RKS33110,0
RKS33111,0
RKS33112,119.22608
RKS33113,5772.6256
RKS33114,1601.6064
RKS33115,0
RKS33116,777.84624
RKS33117,134.98144
RKS33118,18090.6
RKS33119,0
RKS33120,0
RKS33517,899.6288
RKS33518,16.71064
RKS33519,1293.6248
RKS33520,811.5384
RKS33521,18251.648
RKS33522,4033.9808
RKS33523,126.74712
RKS33524,6558.6848
RKS33525,414.79032
RKS33526,3943.444
RKS33527,0
RKS33528,122.31104
RKS33529,537.92184
RKS33530,6626.1848
RKS33531,0
RKS33532,18078.024
RKS33533,242.48568
RKS33534,2109.6976
RKS33535,0
RKS33536,290.50336
RKS33537,135.5708
RKS35558,246.0664
RKS35559,1356.7112
RKS35560,1604.7344
RKS35561,4050.8296
RKS35562,9626
RKS35563,0
RKS35564,103.87288
RKS35565,24897.04
RKS35566,393.63824
RKS35568,1023.7112
RKS35569,1179.4528
RKS35570,38368.728
RKS34818,22607.939424
RKS34819,89.81921672
RKS34820,0
RKS34821,0
RKS34822,1228.7346736
RKS34823,19481.829096
RKS34824,0
RKS34825,575.35429408
RKS35270,586335.30184
RKS35271,2257.6463968
RKS33041,1364.9746936
RKS33042,2765.0015064
RKS33043,213.87185392
RKS33044,22773.362104
RKS33045,619.61500552
RKS33046,0
RKS33047,123.90826504
RKS33048,1302.1587104
RKS33049,13709.47352
RKS35258,3975.6573704
RKS35259,7162.3632696
RKS35260,1630.5795968
RKS35261,4.0640088
RKS35262,8665.236576
RKS35263,844.3979016
RKS35264,1501.043656
RKS35265,468.417158
RKS35266,3023.3755576
RKS34940,77902.661472
RKS34941,51893.940696
RKS34942,1186.670548
RKS34943,44036.870024
RKS34944,866.1344752
RKS34945,0
RKS35373,301.108988
RKS35374,21392.175192
RKS35375,0
RKS35376,7074.547808
RKS35377,0
RKS35378,13199.216528
RKS35379,0
RKS35380,0
RKS35381,162.89237872
RKS35382,0
RKS35383,602.06200656
RKS35384,62618.5318
RKS35385,1.03535384
RKS35386,1282.5480272
RKS35387,0
RKS35388,28383.788312
RKS35389,152.67646696
RKS35390,33873.646536
RKS35391,0
RKS35392,1494.429588
RKS35393,0
RKS35394,237.19065584
RKS35395,129304.2544
RKS35396,15992.540032
RKS35133,0
RKS35134,224.02756608
RKS35135,512.76083168
RKS35136,981.842424
RKS35137,894.3368672
RKS35272,7121.9909064
RKS35273,19.22258752
RKS35274,48901.047032
RKS35275,273.70489488
RKS35276,496.4441908
RKS35277,0
RKS35278,737.97518608
RKS35279,0
RKS35567,1096.3025384
RKS34708,4686.590464
RKS34709,0
RKS34710,302.18753944
RKS34711,12985.722672
