"id","relocate_id","pit_tag_ref","sex","weight","length","bd_exposure","collect_stage","bd_treatment","swab_id","comment","tag_new","surveyor_id"
"4b9e6286-b902-49ef-bdc3-47135ab00863","ae09b85a-4f59-4ddc-b658-9a696c15db4f","982091062745684","m",NA,NA,"unexposed","tadpole","",NA,"","FALSE",NA
"fecb7123-c362-41d3-bbf9-3bc2006c5deb","ae09b85a-4f59-4ddc-b658-9a696c15db4f","982091062745651","f",NA,NA,"unexposed","tadpole","",NA,"","FALSE",NA
"8e6fbb15-9c31-4c88-821d-f64af3592586","ae09b85a-4f59-4ddc-b658-9a696c15db4f","982091062745813","m",NA,NA,"unexposed","tadpole","",NA,"","FALSE",NA
"46d26ffe-ed63-406c-b399-681a37d2db69","ae09b85a-4f59-4ddc-b658-9a696c15db4f","982091062745793","f",NA,NA,"unexposed","tadpole","",NA,"","FALSE",NA
"783f534c-c162-4a78-9fc6-7bdfc89afe72","ae09b85a-4f59-4ddc-b658-9a696c15db4f","982091062745754","f",NA,NA,"unexposed","tadpole","",NA,"","FALSE",NA
"5c514779-f72e-4343-9a64-e43a282622fb","ae09b85a-4f59-4ddc-b658-9a696c15db4f","982091062745724","f",NA,NA,"unexposed","tadpole","",NA,"","FALSE",NA
"e95ebe68-6d19-449d-875e-89af23e3a820","ae09b85a-4f59-4ddc-b658-9a696c15db4f","982091062745669","m",NA,NA,"unexposed","tadpole","",NA,"","FALSE",NA
"eb8b5d79-79c9-4458-8391-b7c4fe55101d","ae09b85a-4f59-4ddc-b658-9a696c15db4f","982091062745756","m",NA,NA,"unexposed","tadpole","",NA,"","FALSE",NA
"4ff439c6-9f2f-41e5-b6b7-2c8e1894abe5","ae09b85a-4f59-4ddc-b658-9a696c15db4f","982091062745766","m",NA,NA,"unexposed","tadpole","",NA,"","FALSE",NA
"2152aa00-258d-43c3-a972-174c41beabdc","ae09b85a-4f59-4ddc-b658-9a696c15db4f","982091062746039","m",NA,NA,"unexposed","tadpole","",NA,"","FALSE",NA
"db6831cc-1537-45b9-812a-40b5be1ce933","ae09b85a-4f59-4ddc-b658-9a696c15db4f","982091062745814","f",NA,NA,"unexposed","tadpole","",NA,"dark morph with black eyes and translucent belly","FALSE",NA
"f1333101-8b85-47d6-b755-8d14da04e14e","ae09b85a-4f59-4ddc-b658-9a696c15db4f","982091062745961","m",NA,NA,"unexposed","tadpole","",NA,"","FALSE",NA
